repo_name,test_func,main_api,sec_op,var_type,var,scope,violated_path_num,score
kernel,meson_smp_prepare_cpus,of_find_compatible_node,of_node_put,retval,node,Local,3,41.79
kernel,amd_freq_sensitivity_init,pci_get_device,pci_dev_put,arg0,pci_vendor,Local,5,41.68
kernel,tegra_smmu_find,of_find_device_by_node,put_device,retval,pdev,Local,3,41.64
kernel,tegra210_xusb_padctl_probe,of_find_device_by_node,put_device,retval,pdev,Local,3,41.64
kernel,mtk_smi_device_link_common,of_find_device_by_node,put_device,retval,smi_com_pdev,Local,3,41.64
kernel,dw_mipi_dsi_rockchip_find_second,of_find_device_by_node,put_device,retval,pdev,Local,3,41.64
kernel,emc_ensure_emc_driver,of_find_device_by_node,put_device,retval,pdev,Local,3,41.64
kernel,mtk_iommu_create_mapping,of_find_device_by_node,put_device,retval,m4updev,Local,3,41.64
kernel,pl111_vexpress_clcd_init,of_find_device_by_node,put_device,retval,pdev,Local,3,41.64
kernel,meson_secure_pwrc_probe,of_find_compatible_node,of_node_put,retval,sm_np,Local,2,41.59
kernel,m10v_smp_init,of_find_compatible_node,of_node_put,retval,np,Local,2,41.59
kernel,icp_hv_init,of_find_compatible_node,of_node_put,retval,np,Local,2,41.59
kernel,imx7_src_init,of_find_compatible_node,of_node_put,retval,np,Local,2,41.59
kernel,ppc440spe_adma_setup_irqs,of_find_compatible_node,of_node_put,retval,np,Local,2,41.59
kernel,zynq_get_revision,of_find_compatible_node,of_node_put,retval,np,Local,2,41.59
kernel,pmac_check_ht_link,of_find_compatible_node,of_node_put,retval,pcix_node,Local,2,41.59
kernel,axxia_boot_secondary,of_find_compatible_node,of_node_put,retval,syscon_np,Local,2,41.59
kernel,opal_psr_init,of_find_compatible_node,of_node_put,retval,psr,Local,2,41.59
kernel,dove_init_pmu,of_find_compatible_node,of_node_put,retval,np_pmu,Local,2,41.59
kernel,fsl_rio_setup,of_find_compatible_node,of_node_put,retval,np,Local,2,41.59
kernel,brcmstb_biuctrl_init,of_find_compatible_node,of_node_put,retval,np,Local,2,41.59
kernel,rcar_gen2_pm_init,of_find_compatible_node,of_node_put,retval,np,Local,2,41.59
kernel,npcm7xx_smp_prepare_cpus,of_find_compatible_node,of_node_put,retval,scu_np,Local,2,41.59
kernel,at91_get_cidr_exid_from_dbgu,of_find_compatible_node,of_node_put,retval,np,Local,2,41.59
kernel,s500_smp_prepare_cpus,of_find_compatible_node,of_node_put,retval,node,Local,2,41.59
kernel,opal_sensor_groups_init,of_find_compatible_node,of_node_put,retval,sg,Local,2,41.59
kernel,mxs_get_ocotp,of_find_compatible_node,of_node_put,retval,np,Local,2,41.59
kernel,hi3xxx_smp_prepare_cpus,of_find_compatible_node,of_node_put,retval,np,Local,2,41.59
kernel,format_show,of_find_compatible_node,of_node_put,retval,node,Local,2,41.59
kernel,socfpga_smp_prepare_cpus,of_find_compatible_node,of_node_put,retval,np,Local,2,41.59
kernel,ehci_hcd_ppc_of_probe,of_find_compatible_node,of_node_put,retval,np,Local,2,41.59
kernel,enetc_pf_register_with_ierb,of_find_compatible_node,of_node_put,retval,ierb_node,Local,2,41.59
kernel,imx_icc_node_init_qos,of_find_device_by_node,put_device,retval,pdev,Local,2,41.44
kernel,dsi_get_phy,of_find_device_by_node,put_device,retval,phy_pdev,Local,2,41.44
kernel,dwc3_meson_g12_find_child,of_find_device_by_node,put_device,retval,pdev,Local,2,41.44
kernel,sun_floppy_init,of_find_device_by_node,put_device,retval,op,Local,2,41.44
kernel,mtk_iommu_of_xlate,of_find_device_by_node,put_device,retval,m4updev,Local,2,41.44
kernel,msm_hdmi_get_phy,of_find_device_by_node,put_device,retval,phy_pdev,Local,2,41.44
kernel,dwc3_octeon_device_init,of_find_device_by_node,put_device,retval,pdev,Local,2,41.44
kernel,ingenic_ecc_get,of_find_device_by_node,put_device,retval,pdev,Local,2,41.44
kernel,qmp_get,of_find_device_by_node,put_device,retval,pdev,Local,2,41.44
kernel,of_get_ocmem,of_find_device_by_node,put_device,retval,pdev,Local,2,41.44
kernel,st_dwc3_probe,of_find_device_by_node,put_device,retval,child_pdev,Local,2,41.44
kernel,init_ck804xrom,pci_get_device,pci_dev_put,arg0,id,Local,3,41.28
kernel,init_esb2rom,pci_get_device,pci_dev_put,arg0,id,Local,3,41.28
kernel,i82443bxgx_edacmc_init,pci_get_device,pci_dev_put,arg0,id,Local,2,41.08
kernel,init_amd76xrom,pci_get_device,pci_dev_put,arg0,id,Local,2,41.08
kernel,init_ichxrom,pci_get_device,pci_dev_put,arg0,id,Local,2,41.08
kernel,devfreq_add_device,dev_pm_opp_get_opp_table,dev_pm_opp_put_opp_table,retval,devfreq->opp_table,Global,9,27.2
kernel,vsp1_probe,rcar_fcp_get,rcar_fcp_put,retval,vsp1->fcp,Global,7,26.8
kernel,fdp1_probe,rcar_fcp_get,rcar_fcp_put,retval,fdp1->fcp,Global,6,26.6
kernel,of_genpd_add_provider_onecell,dev_pm_opp_get_opp_table,dev_pm_opp_put_opp_table,retval,genpd->opp_table,Global,3,26.0
kernel,rpc_clnt_add_xprt,xprt_switch_get,xprt_switch_put,arg0,rcu_dereference,Global,3,26.0
kernel,call_connect_status,xprt_switch_get,xprt_switch_put,arg0,rcu_dereference,Global,2,25.8
kernel,adpt_detect,pci_dev_get,pci_dev_put,retval,,Global,96,25.16
kernel,drbd_adm_prepare,drbd_find_resource,kref_put,retval,adm_ctx->resource,Global,28,22.67
kernel,anx7625_parse_dt,of_graph_get_remote_node,of_node_put,retval,pdata->mipi_host_node,Global,4,17.87
kernel,stm32_pctl_probe,of_reset_control_get_exclusive,reset_control_put,retval,bank->rstc,Global,4,17.87
kernel,ag71xx_mdio_probe,of_reset_control_get_exclusive,reset_control_put,retval,ag->mdio_reset,Global,3,17.67
kernel,bcm_vk_probe,pci_dev_get,pci_dev_put,retval,vk->pdev,Global,58,17.56
kernel,imx_thermal_register_legacy_cooling,cpufreq_cpu_get,cpufreq_cpu_put,retval,data->policy,Global,2,17.47
kernel,xgmiitorgmii_probe,of_phy_find_device,put_device,retval,priv->phy_dev,Global,2,17.47
kernel,gadgetfs_bind,usb_ep_alloc_request,usb_ep_free_request,retval,dev->req,Global,2,17.47
kernel,u_audio_start_capture,usb_ep_alloc_request,usb_ep_free_request,retval,req_fback,Global,2,17.47
