repo_name,test_func,main_api,sec_op,var_type,var,scope,violated_path_num
kernel,gb_sdio_probe,mmc_alloc_host,mmc_free_host,retval,mmc,Local,2
kernel,sh_mmcif_probe,mmc_alloc_host,mmc_free_host,retval,mmc,Local,3
kernel,meson_mmc_probe,mmc_alloc_host,mmc_free_host,retval,mmc,Local,2
kernel,vub300_probe,mmc_alloc_host,mmc_free_host,retval,mmc,Local,3
kernel,mxcmci_probe,mmc_alloc_host,mmc_free_host,retval,mmc,Local,25
kernel,clk_mt8173_mm_probe,mtk_alloc_clk_data,mtk_free_clk_data,retval,clk_data,Local,3
kernel,clk_mt2701_aud_probe,mtk_alloc_clk_data,mtk_free_clk_data,retval,clk_data,Local,2
kernel,clk_mt7622_audiosys_init,mtk_alloc_clk_data,mtk_free_clk_data,retval,clk_data,Local,2
kernel,clk_mt8167_mm_probe,mtk_alloc_clk_data,mtk_free_clk_data,retval,clk_data,Local,3
kernel,msm_hdmi_get_phy,of_find_device_by_node,put_device,retval,phy_pdev,Local,2
kernel,sun_floppy_init,of_find_device_by_node,put_device,retval,op,Local,2
kernel,sun8i_hdmi_phy_get,of_find_device_by_node,put_device,retval,pdev,Global,2
kernel,mvneta_bm_get,of_find_device_by_node,put_device,retval,pdev,Global,2
kernel,spm_cpuidle_register,of_find_device_by_node,put_device,retval,pdev,Local,5
kernel,qmp_get,of_find_device_by_node,put_device,retval,pdev,Local,2
kernel,ahci_platform_get_resources,of_find_device_by_node,put_device,retval,port_dev,Local,5
kernel,hidma_mgmt_of_populate_channels,of_find_device_by_node,put_device,retval,pdev_parent,Global,5
kernel,ti_dra7_xbar_route_allocate,of_find_device_by_node,put_device,retval,pdev,Global,4
kernel,of_get_mac_addr_nvmem,of_find_device_by_node,put_device,retval,pdev,Global,3
kernel,dwc3_octeon_device_init,of_find_device_by_node,put_device,retval,pdev,Local,2
kernel,st_dwc3_probe,of_find_device_by_node,put_device,retval,child_pdev,Local,2
kernel,dwc3_imx8mp_probe,of_find_device_by_node,put_device,retval,dwc3_imx->dwc3,Global,2
kernel,mtk_smi_device_link_common,of_find_device_by_node,put_device,retval,smi_com_pdev,Local,3
kernel,omap_iommu_probe_device,of_find_device_by_node,put_device,retval,pdev,Local,4
kernel,of_iomap,of_find_device_by_node,put_device,retval,op,Global,2
kernel,rcar_du_cmm_init,of_find_device_by_node,put_device,retval,pdev,Local,4
kernel,of_get_ocmem,of_find_device_by_node,put_device,retval,pdev,Local,2
kernel,dw_mipi_dsi_rockchip_find_second,of_find_device_by_node,put_device,retval,pdev,Local,3
kernel,dsi_get_phy,of_find_device_by_node,put_device,retval,phy_pdev,Local,2
kernel,emc_ensure_emc_driver,of_find_device_by_node,put_device,retval,pdev,Local,3
kernel,dwc3_meson_g12_find_child,of_find_device_by_node,put_device,retval,pdev,Local,2
kernel,hns_roce_get_cfg,of_find_device_by_node,put_device,retval,pdev,Local,11
kernel,apple_dart_of_xlate,of_find_device_by_node,put_device,retval,iommu_pdev,Global,7
kernel,pl111_vexpress_clcd_init,of_find_device_by_node,put_device,retval,pdev,Local,3
kernel,mtk_iommu_create_mapping,of_find_device_by_node,put_device,retval,m4updev,Local,3
kernel,fman_port_probe,of_find_device_by_node,put_device,retval,fm_pdev,Local,9
kernel,octeon_cf_probe,of_find_device_by_node,put_device,retval,dma_dev,Local,8
kernel,omap_usb2_probe,of_find_device_by_node,put_device,retval,control_pdev,Local,17
kernel,mtk_iommu_of_xlate,of_find_device_by_node,put_device,retval,m4updev,Local,2
kernel,nmk_gpio_populate_chip,of_find_device_by_node,put_device,retval,gpio_pdev,Local,4
kernel,omap2430_probe,of_find_device_by_node,put_device,retval,control_pdev,Local,4
kernel,lpc18xx_dmamux_reserve,of_find_device_by_node,put_device,retval,pdev,Global,6
kernel,stm32_dmamux_route_allocate,of_find_device_by_node,put_device,retval,pdev,Global,8
kernel,tegra_smmu_find,of_find_device_by_node,put_device,retval,pdev,Local,3
kernel,ti_am335x_xbar_route_allocate,of_find_device_by_node,put_device,retval,pdev,Global,5
kernel,ingenic_ecc_get,of_find_device_by_node,put_device,retval,pdev,Local,2
kernel,tegra210_xusb_padctl_probe,of_find_device_by_node,put_device,retval,pdev,Local,3
kernel,imx_icc_node_init_qos,of_find_device_by_node,put_device,retval,pdev,Local,2
kernel,ti_pipe3_get_sysctrl,of_find_device_by_node,put_device,retval,control_pdev,Local,5
kernel,a6xx_gmu_init,of_find_device_by_node,put_device,retval,pdev,Global,50
kernel,mtk_iommu_probe,of_find_device_by_node,put_device,retval,plarbdev,Local,9
kernel,kmb_probe,of_find_device_by_node,put_device,retval,dsi_pdev,Local,9
kernel,imx_hdmi_probe,of_find_device_by_node,put_device,retval,cpu_pdev,Local,15
kernel,sba_probe,of_find_device_by_node,put_device,retval,mbox_pdev,Local,4
kernel,tegra_mipi_request,of_find_device_by_node,put_device,retval,dev->pdev,Global,2
